,0,1
2156,rata2,rata-rata
2157,lbih,lebih
2158,byk,banyak
2159,critamu,ceritamu
2160,kw,kau
2161,ja,saja
2162,dl,dulu
2163,tu,itu
2164,kl,kalo
2165,dh,dah
2166,bres,beres
2167,cmkn,camkan
2168,tu,itu
2169,gk,enggak
2170,diurusin,diurusi
2171,keles,kali
2172,yg,yang
2173,biarin,biarkan
2174,aja,saja
2175,ntar,entar
2176,utk,untuk
2177,utk,untuk
2178,gk,enggak
2179,gk,enggak
2180,kk,kakak
2181,kale,kali
2182,klo,kalo
2183,ngomong,mengomong
2184,elo,lo
2185,ngerasa,merasa
2186,bener,benar
2187,ga,enggak
2188,donks,dong
2189,ga,enggak
2190,kn,kan
2191,keles,kali
2192,smoga,semoga
2193,kmu,kamu
2194,jngan,jangan
2195,"membanding""",membanding-banding
2196,gk,enggak
2197,kmi,kami
2198,mengperbolehkan,memperbolehkan
2199,gk,enggak
2200,krena,karena
2201,ngri,negeri
2202,"dingin""",dingin-dingin
2203,kn,kan
2204,lma,lama
2205,dibangga'in,dibangga-banggakan
2206,ngajak,mengajak
2207,ngebolehin,membolehkan
2208,dapet,dapat
2209,gak,enggak
2210,denger,dengar
2211,dlu,dulu
2212,"jelek""in",menjelek-jelekkan
2213,stiap,setiap
2214,org,orang
2215,gausa,enggak usah
2216,maksain,memaksakan
2217,klo,kalo
2218,km,kamu
2219,buktiin,buktikan
2220,smog,semoga
2221,mnerima,menerima
2222,baikxa,baiknya
2223,aaamin,amin
2224,ma,sama
2225,ma,sama
2226,sdh,sudah
2227,gk,enggak
2228,amienn,amien
2229,sekangen2,sekangen-kangen
2230,sm,sama
2231,met,selamat
2232,jln,jalan
2233,amiin,amin
2234,aamiin,amin
2235,kt,kita
2236,kmu,kamu
2237,sdh,sudah
2238,gak,enggak
2239,tpi,tapi
2240,aminnnn,amin
2241,amiiiiiiiiiinnnnnnn,amin
2242,nolongin,menolong
2243,amiiiiiiiiiiin,amin
2244,seluru,seluruh
2245,aminn,amin
2246,alloh,allah
2247,amiennn,amien
2248,amiiiin,amin
2249,amiiiin,amin
2250,gak,enggak
2251,ngk,enggak
2252,ngak,enggak
2253,ngak,enggak
2254,gak,enggak
2255,bnget,banget
2256,klow,kalau
2257,tebir,ribet
2258,doangam,doang
2259,"tebir""",ribet-ribet
2260,amad,amat
2261,mkst,maksud
2262,jgn,jangan
2263,sm,sama
2264,ae,saja
2265,wong2,wong-wong
2266,lau,kau
2267,rempong,repot
2268,ngurusin,mengurusi
2269,kerjaan,pekerjaan
2270,bingittzz,banget
2271,dgn,dengan
2272,bangets,banget
2273,ajaa,saja
2274,jg,juga
2275,bngt,banget
2276,ikh,ih
2277,kk,kakak
2278,aq,aku
2279,dwh,deh
2280,pulak,pula
2281,nengok,menengok
2282,bante,bantai
2283,la,lah
2284,ngomong,mengomong
2285,komenannya,komentarnya
2286,hadapin,menghadapi
2287,dengarin,mendengarkan
2288,bru,baru
2289,gk,enggak
2290,ush,usah
2291,sma,sama
2292,gpp,enggak apa-apa
2293,cock,cocok
2294,widihh,waduh
2295,bner,benar
2296,mantepp,mantap
2297,dehh,deh
2298,itungan,hitungan
2299,cita2,cita-cita
2300,temen-temen,teman-teman
2301,stu,satu
2302,syratnya,syaratnya
2303,klo,kalo
2304,skrg,sekarang
2305,skrg,sekarang
2306,mksh,terima kasih
2307,bgt,banget
2308,smoga,semoga
2309,pnjang,panjang
2310,shat,sehat
2311,slalu,selalu
2312,inginkn,inginkan
2313,ank,anak
2314,belanjaa,belanja
2315,disiniii,disini
2316,buktiin,buktikan
2317,burem,buram
2318,tlp,telepon
2319,dngan,dengan
2320,dg,dengan
2321,ga,enggak
2322,nyangka,menyangka
2323,nunggu,menunggu
2324,ngerasain,merasai
2325,ngerasain,merasai
2326,gmn,bagaimana
2327,yaaa,ya
2328,kancang,kencang
2329,tmbh,tambah
2330,cntik,cantik
2331,bnyk,banyak
2332,knp,kenapa
2333,mansyoallah,masyaallah
2334,skali,sekali
2335,canttttikkk,cantik
